BUID;PRODTYPEID;PRODID;BNAME;BABBREV;TYPEDESCRIPTION;PRODDESCRIPTION;PRICE1;PRICE2;UNITCOST;Company;Product_SK
B   ;5;186;Disposable Supplies;Supplies;Cleaning Supplies;Soya Cleaning Supplies;406.93;345.89;345.89;TPCW;144
B   ;5;190;Disposable Supplies;Supplies;Cleaning Supplies;Curiouser Cleaning Supplies;419.36;364.42;338.91;TPCW;145
B   ;5;196;Disposable Supplies;Supplies;Cleaning Supplies;Drafty Cleaning Supplies;107.13;92.67;88.96;TPCW;146
B   ;6;1105;Disposable Supplies;Supplies;Paper Supplies;Just Paper Supplies;278.59;201.34;192.67;TPCW;147
B   ;6;146;Disposable Supplies;Supplies;Paper Supplies;Distantly Paper Supplies;518.49;436.05;418.61;TPCW;148
B   ;6;150;Disposable Supplies;Supplies;Paper Supplies;Restarts Paper Supplies;524.38;448.34;425.92;TPCW;149
B   ;6;184;Disposable Supplies;Supplies;Paper Supplies;Unjust Paper Supplies;222.48;182.21;176.74;TPCW;150
B   ;6;189;Disposable Supplies;Supplies;Paper Supplies;Travel Paper Supplies;129.85;108.81;103.37;TPCW;151
B   ;6;197;Disposable Supplies;Supplies;Paper Supplies;Stickiest Paper Supplies;575.92;502.78;467.59;TPCW;152
B   ;7;127;Disposable Supplies;Supplies;Plastic Supplies;Pinnings Plastic Supplies;337.17;302.44;287.32;TPCW;153
B   ;7;139;Disposable Supplies;Supplies;Plastic Supplies;Overlays Plastic Supplies;301.08;254.41;241.69;TPCW;154
B   ;7;155;Disposable Supplies;Supplies;Plastic Supplies;Bumblers Plastic Supplies;545.31;466.24;447.59;TPCW;155
B   ;7;158;Disposable Supplies;Supplies;Plastic Supplies;Characterization Plastic Supplies;231.68;185.58;168.88;TPCW;156
B   ;7;159;Disposable Supplies;Supplies;Plastic Supplies;Tonnage Plastic Supplies;368.75;315.65;309.34;TPCW;157
B   ;7;179;Disposable Supplies;Supplies;Plastic Supplies;Siena Plastic Supplies;155.03;136.43;132.34;TPCW;158
B   ;7;180;Disposable Supplies;Supplies;Plastic Supplies;Temporally Plastic Supplies;477.53;408.29;371.54;TPCW;159
B   ;7;191;Disposable Supplies;Supplies;Plastic Supplies;Scribble Plastic Supplies;492.4;405.74;397.63;TPCW;160
B   ;8;110;Disposable Supplies;Supplies;Tray Supplies;Defeated Tray Supplies;559.74;476.9;448.29;TPCW;161
B   ;8;123;Disposable Supplies;Supplies;Tray Supplies;Decided Tray Supplies;233.3;202.27;198.22;TPCW;162
B   ;8;131;Disposable Supplies;Supplies;Tray Supplies;Simplifier Tray Supplies;408.81;349.12;328.17;TPCW;163
B   ;8;133;Disposable Supplies;Supplies;Tray Supplies;Consumable Tray Supplies;395.7;347.42;337;TPCW;164
B   ;8;141;Disposable Supplies;Supplies;Tray Supplies;Consideration Tray Supplies;172.56;146.85;139.51;TPCW;165
B   ;8;157;Disposable Supplies;Supplies;Tray Supplies;South Tray Supplies;241.3;205.1;203.05;TPCW;166
B   ;8;169;Disposable Supplies;Supplies;Tray Supplies;Hits Tray Supplies;439.53;359.1;341.14;TPCW;167
B   ;8;172;Disposable Supplies;Supplies;Tray Supplies;Anthem Tray Supplies;134.92;112.39;109.02;TPCW;168
B   ;8;188;Disposable Supplies;Supplies;Tray Supplies;Vestiges Tray Supplies;231.45;192.1;186.34;TPCW;169
B   ;8;192;Disposable Supplies;Supplies;Tray Supplies;Behind Tray Supplies;166.65;138.99;129.26;TPCW;170
C   ;0009;312;Chemicals;Chemicals;Photo Chemicals;Travelings Photo Chemicals;274.39;242.01;225.07;TPCE;171
C   ;0009;314;Chemicals;Chemicals;Photo Chemicals;Engle Photo Chemicals;429.94;346.1;342.64;TPCE;172
C   ;0009;354;Chemicals;Chemicals;Photo Chemicals;Honeymoon Photo Chemicals;326.13;292.21;271.76;TPCE;173
C   ;0009;378;Chemicals;Chemicals;Photo Chemicals;Measured Photo Chemicals;318.06;270.67;254.43;TPCE;174
C   ;0010;349;Chemicals;Chemicals;Flushing Chemicals;Visage Flushing Chemicals;567.75;507.57;466.96;TPCE;175
C   ;0010;362;Chemicals;Chemicals;Flushing Chemicals;Substances Flushing Chemicals;507.34;409.93;397.63;TPCE;176
C   ;0010;39;Chemicals;Chemicals;Flushing Chemicals;Millimeters Flushing Chemicals;295.56;251.82;241.75;TPCE;177
C   ;0010;398;Chemicals;Chemicals;Flushing Chemicals;Barrels Flushing Chemicals;135.1;116.59;108.43;TPCE;178
C   ;0011;342;Chemicals;Chemicals;Freezing Chemicals;Carelessly Freezing Chemicals;559.67;467.88;425.77;TPCE;179
C   ;0011;347;Chemicals;Chemicals;Freezing Chemicals;Significants Freezing Chemicals;141.55;113.24;104.18;TPCE;180
C   ;0011;352;Chemicals;Chemicals;Freezing Chemicals;Identical Freezing Chemicals;578.07;465.92;447.28;TPCE;181
C   ;0011;353;Chemicals;Chemicals;Freezing Chemicals;Ruffle Freezing Chemicals;476.38;394.92;379.12;TPCE;182
C   ;0011;366;Chemicals;Chemicals;Freezing Chemicals;Exemplar Freezing Chemicals;198.4;160.9;152.85;TPCE;183
C   ;0011;375;Chemicals;Chemicals;Freezing Chemicals;Deferrable Freezing Chemicals;145.03;124.44;113.24;TPCE;184
C   ;0011;394;Chemicals;Chemicals;Freezing Chemicals;Beliefs Freezing Chemicals;566.64;483.91;454.88;TPCE;185
C   ;0011;399;Chemicals;Chemicals;Freezing Chemicals;Richards Freezing Chemicals;529.35;475.36;470.61;TPCE;186
C   ;10;149;Chemicals;Chemicals;Flushing Chemicals;Visage Flushing Chemicals;567.75;507.57;466.96;TPCW;187
C   ;10;162;Chemicals;Chemicals;Flushing Chemicals;Substances Flushing Chemicals;507.34;409.93;397.63;TPCW;188
C   ;10;19;Chemicals;Chemicals;Flushing Chemicals;Millimeters Flushing Chemicals;295.56;251.82;241.75;TPCW;189
C   ;10;198;Chemicals;Chemicals;Flushing Chemicals;Barrels Flushing Chemicals;135.1;116.59;108.43;TPCW;190
C   ;11;142;Chemicals;Chemicals;Freezing Chemicals;Carelessly Freezing Chemicals;559.67;467.88;425.77;TPCW;191
C   ;11;147;Chemicals;Chemicals;Freezing Chemicals;Significants Freezing Chemicals;141.55;113.24;104.18;TPCW;192
C   ;11;152;Chemicals;Chemicals;Freezing Chemicals;Identical Freezing Chemicals;578.07;465.92;447.28;TPCW;193
C   ;11;153;Chemicals;Chemicals;Freezing Chemicals;Ruffle Freezing Chemicals;476.38;394.92;379.12;TPCW;194
C   ;11;166;Chemicals;Chemicals;Freezing Chemicals;Exemplar Freezing Chemicals;198.4;160.9;152.85;TPCW;195
C   ;11;175;Chemicals;Chemicals;Freezing Chemicals;Deferrable Freezing Chemicals;145.03;124.44;113.24;TPCW;196
C   ;11;194;Chemicals;Chemicals;Freezing Chemicals;Beliefs Freezing Chemicals;566.64;483.91;454.88;TPCW;197
C   ;11;199;Chemicals;Chemicals;Freezing Chemicals;Richards Freezing Chemicals;529.35;475.36;470.61;TPCW;198
C   ;9;1102;Chemicals;Chemicals;Photo Chemicals;Measured Photo Chemicals;318.06;270.67;254.43;TPCW;199
C   ;9;114;Chemicals;Chemicals;Photo Chemicals;Engle Photo Chemicals;429.94;346.1;342.64;TPCW;200
C   ;9;154;Chemicals;Chemicals;Photo Chemicals;Honeymoon Photo Chemicals;326.13;292.21;271.76;TPCW;201
C   ;9;178;Chemicals;Chemicals;Photo Chemicals;Measured Photo Chemicals;318.06;270.67;254.43;TPCW;202
D   ;0012;315;Miscellaneous;Miscellaneous;Fillers;Disposed Fillers;158.84;138.03;132.51;TPCE;203
D   ;0012;329;Miscellaneous;Miscellaneous;Fillers;Bluest Fillers;507.35;428.2;398.23;TPCE;204
D   ;0012;35;Miscellaneous;Miscellaneous;Fillers;Automobiles Fillers;283.83;227.63;218.52;TPCE;205
D   ;0012;364;Miscellaneous;Miscellaneous;Fillers;Berwick Fillers;583.85;487.51;463.13;TPCE;206
D   ;0012;37;Miscellaneous;Miscellaneous;Fillers;Commendation Fillers;436.33;380.04;364.84;TPCE;207
D   ;0012;374;Miscellaneous;Miscellaneous;Fillers;Flanker Fillers;271.44;236.15;219.62;TPCE;208
D   ;0013;311;Miscellaneous;Miscellaneous;Covers;Sulkiness Covers;354.3;289.82;272.43;TPCE;209
D   ;0013;313;Miscellaneous;Miscellaneous;Covers;Coward Covers;429.79;348.99;328.05;TPCE;210
D   ;0013;316;Miscellaneous;Miscellaneous;Covers;Enhanced Covers;460.96;384.44;361.37;TPCE;211
D   ;0013;322;Miscellaneous;Miscellaneous;Covers;Whippers Covers;488.61;410.43;389.91;TPCE;212
D   ;0013;328;Miscellaneous;Miscellaneous;Covers;Wonderingly Covers;547.21;467.32;453.3;TPCE;213
D   ;0013;33;Miscellaneous;Miscellaneous;Covers;Sortie Covers;248.21;213.21;206.81;TPCE;214
D   ;0013;343;Miscellaneous;Miscellaneous;Covers;Blazed Covers;495;416.79;404.29;TPCE;215
D   ;0013;382;Miscellaneous;Miscellaneous;Covers;Numerals Covers;102.87;88.98;83.64;TPCE;216
D   ;0014;351;Miscellaneous;Miscellaneous;Lifts;Reflection Lifts;497.85;447.57;438.62;TPCE;217
D   ;0014;383;Miscellaneous;Miscellaneous;Lifts;Horses Lifts;487.3;402.51;366.28;TPCE;218
D   ;0015;319;Miscellaneous;Miscellaneous;Jacks;Hesitating Jacks;124.46;100.07;96.07;TPCE;219
D   ;0015;32;Miscellaneous;Miscellaneous;Jacks;Tailor Jacks;509.78;429.74;399.66;TPCE;220
D   ;0015;330;Miscellaneous;Miscellaneous;Jacks;Detectives Jacks;283.32;248.47;236.05;TPCE;221
D   ;0015;345;Miscellaneous;Miscellaneous;Jacks;Slacking Jacks;495.04;399.99;387.99;TPCE;222
D   ;0015;373;Miscellaneous;Miscellaneous;Jacks;Cosgrove Jacks;298.87;267.79;254.4;TPCE;223
D   ;0015;376;Miscellaneous;Miscellaneous;Jacks;Scrounge Jacks;301.58;251.22;248.71;TPCE;224
D   ;12;112;Miscellaneous;Miscellaneous;Fillers;Travelings Photo Chemicals;274.39;242.01;225.07;TPCW;225
D   ;12;115;Miscellaneous;Miscellaneous;Fillers;Disposed Fillers;158.84;138.03;132.51;TPCW;226
D   ;12;129;Miscellaneous;Miscellaneous;Fillers;Bluest Fillers;507.35;428.2;398.23;TPCW;227
D   ;12;15;Miscellaneous;Miscellaneous;Fillers;Automobiles Fillers;283.83;227.63;218.52;TPCW;228
D   ;12;164;Miscellaneous;Miscellaneous;Fillers;Berwick Fillers;583.85;487.51;463.13;TPCW;229
D   ;12;17;Miscellaneous;Miscellaneous;Fillers;Commendation Fillers;436.33;380.04;364.84;TPCW;230
D   ;12;174;Miscellaneous;Miscellaneous;Fillers;Flanker Fillers;271.44;236.15;219.62;TPCW;231
D   ;13;1104;Miscellaneous;Miscellaneous;Covers;LCARS Covers;289.41;231.42;211.76;TPCW;232
D   ;13;111;Miscellaneous;Miscellaneous;Covers;Sulkiness Covers;354.3;289.82;272.43;TPCW;233
D   ;13;113;Miscellaneous;Miscellaneous;Covers;Coward Covers;429.79;348.99;328.05;TPCW;234
D   ;13;116;Miscellaneous;Miscellaneous;Covers;Enhanced Covers;460.96;384.44;361.37;TPCW;235
D   ;13;122;Miscellaneous;Miscellaneous;Covers;Whippers Covers;488.61;410.43;389.91;TPCW;236
D   ;13;128;Miscellaneous;Miscellaneous;Covers;Wonderingly Covers;547.21;467.32;453.3;TPCW;237
D   ;13;13;Miscellaneous;Miscellaneous;Covers;Sortie Covers;248.21;213.21;206.81;TPCW;238
D   ;13;143;Miscellaneous;Miscellaneous;Covers;Blazed Covers;495;416.79;404.29;TPCW;239
